date,price
735236.0,928.25
735237.0,921.25
735238.0,
735239.0,
735240.0,931.0
735241.0,939.75
735242.0,945.75
735243.0,957.0
735244.0,936.5
735245.0,
735246.0,
735247.0,950.25
735248.0,956.25
735249.0,949.75
735250.0,947.75
735251.0,949.0
735252.0,
735253.0,
735254.0,955.5
735255.0,957.25
735256.0,958.0
735257.0,964.0
735258.0,953.75
735259.0,
735260.0,
735261.0,955.75
735262.0,967.0
735263.0,969.0
735264.0,972.75
735265.0,984.75
735266.0,
735267.0,
735268.0,983.25
735269.0,992.0
735270.0,995.25
735271.0,997.25
735272.0,1011.25
735273.0,
735274.0,
735275.0,1006.75
735276.0,1000.0
735277.0,1003.5
735278.0,998.0
735279.0,990.5
735280.0,
735281.0,
735282.0,993.0
735283.0,982.25
735284.0,978.25
735285.0,965.0
735286.0,962.5
735287.0,
735288.0,
735289.0,961.5
735290.0,941.75
735291.0,929.5
735292.0,925.0
735293.0,910.0
735294.0,
735295.0,
735296.0,909.25
735297.0,914.5
735298.0,916.75
735299.0,919.0
735300.0,910.0
735301.0,
735302.0,
735303.0,911.25
735304.0,908.25
735305.0,897.75
735306.0,896.0
735307.0,906.5
735308.0,
735309.0,
735310.0,901.75
735311.0,890.25
735312.0,890.25
735313.0,889.5
735314.0,888.25
735315.0,
735316.0,
735317.0,889.5
735318.0,893.75
735319.0,903.5
735320.0,903.75
735321.0,
735322.0,
735323.0,
735324.0,
735325.0,923.25
735326.0,905.0
735327.0,880.5
735328.0,875.75
735329.0,
735330.0,
735331.0,876.75
735332.0,874.25
735333.0,881.5
735334.0,874.25
735335.0,846.5
735336.0,
735337.0,
735338.0,838.75
735339.0,827.25
735340.0,817.0
735341.0,820.0
735342.0,824.25
735343.0,
735344.0,
735345.0,831.75
735346.0,834.75
735347.0,842.5
735348.0,853.5
735349.0,854.5
735350.0,
735351.0,
735352.0,853.25
735353.0,842.25
735354.0,819.0
735355.0,832.0
735356.0,854.0
735357.0,
735358.0,
735359.0,
735360.0,866.75
735361.0,861.0
735362.0,866.25
735363.0,847.0
735364.0,
735365.0,
735366.0,857.75
735367.0,859.5
735368.0,844.75
735369.0,872.25
735370.0,874.5
735371.0,
735372.0,
735373.0,880.75
735374.0,872.25
735375.0,865.25
735376.0,846.0
735377.0,849.0
735378.0,
735379.0,
735380.0,
735381.0,874.5
735382.0,866.0
735383.0,858.25
735384.0,845.75
735385.0,
735386.0,
735387.0,858.0
735388.0,858.75
735389.0,869.25
735390.0,863.75
735391.0,872.5
735392.0,
735393.0,
735394.0,867.5
735395.0,856.5
735396.0,873.5
735397.0,880.0
735398.0,899.5
735399.0,
735400.0,
735401.0,894.75
735402.0,892.0
735403.0,896.75
735404.0,876.25
735405.0,858.0
735406.0,
735407.0,
735408.0,856.0
735409.0,870.25
735410.0,863.0
735411.0,883.75
735412.0,881.5
735413.0,
735414.0,
735415.0,881.0
735416.0,879.0
735417.0,901.5
735418.0,900.25
735419.0,909.0
735420.0,
735421.0,
735422.0,911.5
735423.0,907.0
735424.0,906.25
735425.0,905.25
735426.0,907.75
735427.0,
735428.0,
735429.0,907.0
735430.0,913.0
735431.0,915.5
735432.0,917.0
735433.0,918.0
735434.0,
735435.0,
735436.0,909.75
735437.0,909.0
735438.0,902.25
735439.0,902.75
735440.0,899.75
735441.0,
735442.0,
735443.0,903.0
735444.0,897.75
735445.0,903.75
735446.0,922.0
735447.0,918.75
735448.0,
735449.0,
735450.0,915.5
735451.0,905.75
735452.0,902.25
735453.0,886.75
735454.0,893.5
735455.0,
735456.0,
735457.0,902.5
735458.0,917.5
735459.0,916.25
735460.0,927.5
735461.0,930.5
735462.0,
735463.0,
735464.0,931.75
735465.0,928.5
735466.0,929.25
735467.0,926.25
735468.0,932.0
735469.0,
735470.0,
735471.0,
735472.0,951.75
735473.0,961.75
735474.0,968.75
735475.0,960.25
735476.0,
735477.0,
735478.0,952.0
735479.0,956.0
735480.0,956.0
735481.0,959.25
735482.0,965.25
735483.0,
735484.0,
735485.0,955.75
