Day / Hour,Value
01-01-2015 00:00,52.327563
01-01-2015 01:00,49.892778
01-01-2015 02:00,39.1
01-01-2015 03:00,35.87
01-01-2015 04:00,33.4
01-01-2015 05:00,36.473838
01-01-2015 06:00,39.1
01-01-2015 07:00,44.51852
01-01-2015 08:00,38.427872
01-01-2015 09:00,40.384147
01-01-2015 10:00,38.525817
01-01-2015 11:00,38.8
01-01-2015 12:00,38.85
01-01-2015 13:00,38.8
01-01-2015 14:00,38.85
01-01-2015 15:00,51.103531
01-01-2015 16:00,55.496337
01-01-2015 17:00,62.197937
01-01-2015 18:00,58.897548
01-01-2015 19:00,56.964904
01-01-2015 20:00,55.992444
01-01-2015 21:00,53.117817
01-01-2015 22:00,49.348668
01-01-2015 23:00,44.891061
02-01-2015 00:00,49.811854
02-01-2015 01:00,41.005288
02-01-2015 02:00,38.982208
02-01-2015 03:00,35.279467
02-01-2015 04:00,36.330873
02-01-2015 05:00,40.603771
02-01-2015 06:00,52.299837
02-01-2015 07:00,56.768681
02-01-2015 08:00,64.241483
02-01-2015 09:00,64.24618
02-01-2015 10:00,64.838093
02-01-2015 11:00,62.916043
02-01-2015 12:00,58.451974
02-01-2015 13:00,58.450906
02-01-2015 14:00,66.1
02-01-2015 15:00,69.833639
02-01-2015 16:00,70.204813
02-01-2015 17:00,75
02-01-2015 18:00,68.799059
02-01-2015 19:00,65.564366
02-01-2015 20:00,61.090024
02-01-2015 21:00,58.308077
02-01-2015 22:00,55.898942
02-01-2015 23:00,52.687789
03-01-2015 00:00,50.962953
03-01-2015 01:00,41.902481
03-01-2015 02:00,37.81
03-01-2015 03:00,37.57
03-01-2015 04:00,37.15
03-01-2015 05:00,37.81
03-01-2015 06:00,49.599244
03-01-2015 07:00,56.011252
03-01-2015 08:00,60.412538
03-01-2015 09:00,60.509216
03-01-2015 10:00,55.218097
03-01-2015 11:00,53.749892
03-01-2015 12:00,51.998855
03-01-2015 13:00,51.909374
03-01-2015 14:00,53.155578
03-01-2015 15:00,55.535811
03-01-2015 16:00,59.534479
03-01-2015 17:00,63.537916
03-01-2015 18:00,58.055995
03-01-2015 19:00,55.442323
03-01-2015 20:00,53.137461
03-01-2015 21:00,47.343276
03-01-2015 22:00,43.295995
03-01-2015 23:00,41.13869
04-01-2015 00:00,40.114616
04-01-2015 01:00,34.506937
04-01-2015 02:00,27
04-01-2015 03:00,19.4
04-01-2015 04:00,18
04-01-2015 05:00,21
04-01-2015 06:00,38.51
04-01-2015 07:00,44.56
04-01-2015 08:00,51.085676
04-01-2015 09:00,53.573394
04-01-2015 10:00,52.213608
04-01-2015 11:00,51.013865
04-01-2015 12:00,47.23692
04-01-2015 13:00,42.139873
04-01-2015 14:00,41.172754
04-01-2015 15:00,50.534658
04-01-2015 16:00,54.692181
04-01-2015 17:00,63.911708
04-01-2015 18:00,58.764686
04-01-2015 19:00,60.249853
04-01-2015 20:00,60.313431
04-01-2015 21:00,54.892489
04-01-2015 22:00,50.447953
04-01-2015 23:00,47.218729
05-01-2015 00:00,47.72
05-01-2015 01:00,39.1
05-01-2015 02:00,35.21
05-01-2015 03:00,32.43
05-01-2015 04:00,33.15
05-01-2015 05:00,38.85
05-01-2015 06:00,48.89
05-01-2015 07:00,60.361086
05-01-2015 08:00,64.065351
05-01-2015 09:00,64.551271
05-01-2015 10:00,56.11698
05-01-2015 11:00,54.248484
05-01-2015 12:00,51.939699
05-01-2015 13:00,51.379519
05-01-2015 14:00,55.16232
05-01-2015 15:00,64.094878
05-01-2015 16:00,64.330828
05-01-2015 17:00,68.555002
05-01-2015 18:00,67.024478
05-01-2015 19:00,63.640263
05-01-2015 20:00,60.510754
05-01-2015 21:00,55.100342
05-01-2015 22:00,52.370361
05-01-2015 23:00,52.041934
06-01-2015 00:00,50.909654
06-01-2015 01:00,45.21
06-01-2015 02:00,38.8
06-01-2015 03:00,35
06-01-2015 04:00,33.43
06-01-2015 05:00,37.58
06-01-2015 06:00,43.5
06-01-2015 07:00,52
06-01-2015 08:00,52.890404
06-01-2015 09:00,52.0464
06-01-2015 10:00,50.62708
06-01-2015 11:00,49.1
06-01-2015 12:00,47.97
06-01-2015 13:00,45.11
06-01-2015 14:00,46.870023
06-01-2015 15:00,53.39972
06-01-2015 16:00,58.412567
06-01-2015 17:00,64.224359
06-01-2015 18:00,63.667101
06-01-2015 19:00,63.284295
06-01-2015 20:00,61.3699
06-01-2015 21:00,58.11843
06-01-2015 22:00,56.32
06-01-2015 23:00,51.21
07-01-2015 00:00,50.954819
07-01-2015 01:00,46.792204
07-01-2015 02:00,46.264587
07-01-2015 03:00,43.319129
07-01-2015 04:00,43.299305
07-01-2015 05:00,45.563243
07-01-2015 06:00,52.716298
07-01-2015 07:00,63.00319
07-01-2015 08:00,71.630507
07-01-2015 09:00,70.75673
07-01-2015 10:00,66.4
07-01-2015 11:00,64.05612
07-01-2015 12:00,55.542643
07-01-2015 13:00,53.294823
07-01-2015 14:00,64.4
07-01-2015 15:00,65.122142
07-01-2015 16:00,67.790705
07-01-2015 17:00,78.75138
07-01-2015 18:00,79.591707
07-01-2015 19:00,75.983708
07-01-2015 20:00,66.149679
07-01-2015 21:00,63.501855
07-01-2015 22:00,58.725889
07-01-2015 23:00,55.516102
08-01-2015 00:00,47.64
08-01-2015 01:00,42.276345
08-01-2015 02:00,41.454589
08-01-2015 03:00,40.320151
08-01-2015 04:00,40.546089
08-01-2015 05:00,45.534208
08-01-2015 06:00,60.293309
08-01-2015 07:00,66.03254
08-01-2015 08:00,78.24
08-01-2015 09:00,76
08-01-2015 10:00,71.152168
08-01-2015 11:00,66.969855
