Value,Test
20.079,734868
20.079,734869
21.023,734870
21.17,734871
21.234,734872
21.446,734873
21.252,734874
21.252,734875
21.37,734876
22.047,734877
22.297,734878
22.22,734879
22.221,734880
22.118,734881
22.118,734882
22.267,734883
21.659,734884
21.251,734885
21.276,734886
20.988,734887
21.323,734888
21.323,734889
21.526,734890
21.783,734891
21.969,734892
22.323,734893
21.916,734894
22.68,734895
22.68,734896
22.819,734897
24.526,734898
24.256,734899
25.187,734900
28.389,734901
29.171,734902
29.171,734903
30.171,734904
34.169,734905
39.298,734906
33.721,734907
28.232,734908
28.785,734909
28.785,734910
27.468,734911
23.743,734912
23.062,734913
23.608,734914
23.606,734915
23.709,734916
23.709,734917
23.933,734918
23.404,734919
23.409,734920
23.93,734921
24.01,734922
23.822,734923
23.822,734924
23.956,734925
24.602,734926
24.313,734927
23.888,734928
23.666,734929
23.448,734930
23.448,734931
23.78,734932
23.693,734933
23.675,734934
23.679,734935
24.064,734936
24.243,734937
24.243,734938
24.375,734939
23.968,734940
23.748,734941
24.558,734942
24.328,734943
24.029,734944
24.029,734945
24.419,734946
24.975,734947
24.967,734948
24.597,734949
23.917,734950
22.424,734951
22.424,734952
22.766,734953
22.983,734954
23.236,734955
23.677,734956
23.506,734957
23.82,734958
23.82,734959
25,734960
24.952,734961
24.891,734962
24.493,734963
24.78,734964
24.78,734965
24.78,734966
24.78,734967
24.758,734968
24.656,734969
24.709,734970
25.117,734971
25.112,734972
25.112,734973
25.289,734974
25.173,734975
25.124,734976
25.093,734977
24.718,734978
24.848,734979
24.848,734980
24.937,734981
25.059,734982
24.499,734983
24.266,734984
24.152,734985
24.311,734986
24.311,734987
24.405,734988
25.192,734989
25.629,734990
25.554,734991
25.107,734992
25.183,734993
25.183,734994
25.183,734995
25.159,734996
24.543,734997
24.779,734998
24.906,734999
24.725,735000
24.725,735001
24.817,735002
24.78,735003
24.878,735004
24.609,735005
24.542,735006
23.615,735007
23.615,735008
23.757,735009
23.243,735010
22.792,735011
23.152,735012
23.084,735013
22.931,735014
22.931,735015
23.005,735016
23.57,735017
23.737,735018
23.267,735019
23.326,735020
22.998,735021
22.998,735022
22.998,735023
22.998,735024
23.036,735025
23.737,735026
23.795,735027
23.484,735028
23.484,735029
23.654,735030
23.828,735031
24.002,735032
23.981,735033
23.775,735034
23.523,735035
23.523,735036
23.588,735037
23.915,735038
23.668,735039
23.707,735040
23.701,735041
23.75,735042
23.75,735043
23.786,735044
23.75,735045
23.954,735046
23.969,735047
23.89,735048
23.743,735049
23.743,735050
23.993,735051
24.263,735052
24.652,735053
24.803,735054
24.94,735055
25.054,735056
25.054,735057
25.241,735058
25.498,735059
24.706,735060
24.581,735061
24.526,735062
24.629,735063
24.629,735064
24.711,735065
24.374,735066
24.382,735067
23.994,735068
23.815,735069
23.908,735070
23.908,735071
23.985,735072
23.693,735073
23.774,735074
23.858,735075
23.875,735076
23.513,735077
23.513,735078
23.743,735079
23.807,735080
23.78,735081
23.68,735082
23.386,735083
22.856,735084
22.856,735085
23.111,735086
22.999,735087
23.15,735088
23.59,735089
23.782,735090
23.907,735091
23.907,735092
24.066,735093
24.576,735094
24.663,735095
24.382,735096
23.617,735097
23.352,735098
23.352,735099
23.821,735100
24.712,735101
24.659,735102
24.606,735103
24.817,735104
24.375,735105
24.375,735106
24.375,735107
24.58,735108
24.616,735109
24.559,735110
24.721,735111
24.689,735112
24.689,735113
24.857,735114
25.763,735115
25.733,735116
25.692,735117
25.858,735118
25.652,735119
25.652,735120
25.758,735121
25.631,735122
25.597,735123
25.635,735124
25.805,735125
